Page ID,Page Name,Disclaimer,Amount Spent (USD)
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,3133
618480098621142,Social Security Event,Robert Jared Wilkins,3040
443329669123990,USAFacts,USAFacts Institute,3001
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,2971
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,2952
203805062990264,Ben Shapiro,The Daily Wire,2925
95181800661,Levi's,Levi's®,2911
6204742571,Sierra Club,SIERRA CLUB,2905
305832706292882,American Gun Association,GunAssociation.org,2885
143528022388140,The Allstate Foundation,The Allstate Foundation,2881
672443759938415,Brad Fiscus for TN District 63 State Representative,Fiscus for TN,2874
2044134958991464,TIRRC Votes,TIRRC Votes,2856
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",2834
114009933764548,The Patriot Club,RightWingGear,2822
1424858414264105,Facebook Watch,"Facebook, Inc.",2816
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,2809
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",2807
46093654473,National Republican Congressional Committee,NRCC,2804
1467725903304588,EZ Insure,Benepath,2768
106224464107240,Jo Jorgensen,Jo Jorgensen for President,2648
18982436812,ACLU,American Civil Liberties Union,2635
111428049989,Cal Cunningham,CAL FOR NC,2625
85452072376,Newsmax,Newsmax Media,2624
106323360959211,Patriots Republic,Matthew James Stine,2598
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2560
108933640525216,Kiran For Congress,KIRAN SREEPADA FOR CONGRESS,2544
1204754733024419,People's Power Grab,ACRONYM,2524
812568952119893,Tennessee Advocates for Planned Parenthood,Tennessee Advocates for Planned Parenthood,2471
140357056032320,NEA Today,National Education Association,2445
17432811417,Working Families Party,"Working Families Organization, Inc",2415
101248848348677,Charlie Baum for State House,Charlie Baum for State House,2397
110175480400832,John Gillespie for State House 97,Friends of John Gillespie,2361
320437294638279,Campus Vote Project,FAIR ELECTIONS CENTER,2355
33713453361,Amazon Prime Video,Amazon Prime Video,2314
242077219243971,The Presidential Coalition,The Presidential Coalition,2314
934438026690635,YouGov,YOUGOV AMERICA INC.,2295
69983322463,Ted Cruz,TED CRUZ FOR SENATE,2293
104614641200137,MeidasTouch,MEIDASTOUCH,2274
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,2271
100256754899828,Patriot's Cave,Patriots Cave,2268
355316521236121,John Cornyn,TEXANS FOR SENATOR JOHN CORNYN INC.,2265
33713453361,Amazon Prime Video,These ads ran without a disclaimer,2254
57403415485,Showtime Networks,Showtime Networks,2253
132492254050920,American AF,AAF Nation,2249
5435784683,Greenpeace USA,"GREENPEACE, INC.",2247
537709253344323,The News Break - News Break,These ads ran without a disclaimer,2231
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,2197
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",2152
700806360047982,CFG Action,Club for Growth Action,2144
226622144737150,Christopher Hale for Tennessee,CHRISTOPHER HALE FOR TENNESSEE,2143
215199482635728,Alek Skarlatos,ALEK FOR OREGON,2131
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",2124
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,2107
103026384819654,How to Vote,ACRONYM,2107
108109934203874,Insta Shop Boutique,Insta Shop Boutique,2086
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",2073
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",2059
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,2050
117410271826,American Public University,These ads ran without a disclaimer,2048
216397232833,Penzeys Spices,Penzeys Ltd,2041
223008867858902,American Action News,American Action News,2030
545987975412880,Healthy and Free Tennessee,Healthy and Free Tennessee,2000
278478315828826,CNN Original Series,"Turner Broadcasting Sales, Inc",1998
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,1993
130467958471,Jason Lewis,Jason Lewis for Senate,1969
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,1967
681745912255844,John Cummings for Congress,CUMMINGS FOR CONGRESS,1961
102540761552770,Vote Yes For Bristol,Vote Yes For Bristol,1936
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,1874
105577974544303,The USA Needs More Patriots,Anthony Alexander Morales,1868
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,1859
107330253280356,Tim Burchett for Congress,BURCHETT FOR CONGRESS,1854
25852730092,Care2,Care2 Inc,1844
7833534974,Florida Democratic Party,Florida Democratic Party,1837
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1822
106114264313679,Hunt The Vote,"Hunter Nation, Inc",1816
102212541306207,Self-Employed Health Insurance,GROW with MKG LLC,1813
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,1809
593289284500311,Trump Rack,BOXD Marketing,1809
393932827634250,Dissent Pins,Common Practice,1786
102671331487937,I Love My Freedom Store,I Love My Freedom,1780
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",1779
102373371457048,Scott Hefner for Mt Juliet District 3 City Commissioner,CAMPAIGN TO ELECT SCOTT HEFNER,1778
429812024048177,Doug Jones for Senate,DOUG JONES FOR SENATE COMMITTEE,1699
907919839243616,My Faith Votes,My Faith Votes,1695
167586229923327,World Food Program USA,World Food Program USA,1695
23875187730,Feeding America,Feeding America,1685
266344180585578,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,1676
355316521236121,John Cornyn,Cornyn Majority Texas,1670
356482637745012,Stansberry Research,Stansberry Research,1665
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,1642
8325302025,Friends of the Earth U.S.,Friends of the Earth,1637
277005566267077,Blueland,Blueland,1628
106928861137262,Global Final Expense Assistance,Kohv8,1624
60449667441,Family Research Council,FAMILY RESEARCH COUNCIL,1615
111499100431,National Association for Gun Rights,NATIONAL ASSOCIATION FOR GUN RIGHTS INC,1612
530604487365010,Old Glory Flagpole Kits,Service First,1607
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,1598
598924810530984,Keeping America Great,FamTeeWorld,1594
203197030603239,8 Billion Trees,8 Billion Trees,1587
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,1586
100926135067368,Defend Your Police,Defend Your Police,1581
405469100189512,Still My President - Donald Trump,Red State Politics LLC,1573
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,1560
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,1558
8501031021,VoteVets.org,VOTEVETS,1538
892673067526965,Project War Path,Project War Path,1511
7263476274,Mercy Corps,Mercy Corps,1506
97466887664,Innocence Project,"INNOCENCE PROJECT, INC., THE",1503
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",1487
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,1476
1109093812491437,Blaze Media,Blaze Media LLC,1471
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,1460
596556607135301,The Earthling Co.,The Earthling Co.,1460
15524934075,Banana Republic,Banana Republic,1450
873203482775828,Poor People's Campaign: A National Call for Moral Revival,Poor People's Campaign,1435
106973694007283,Keep America Great Again,KagaGear.com,1421
762583443832298,In Our Own Voice: National Black Women's Reproductive Justice Agenda,"In Our Own Voice: National Black Women's Reproductive Justice Agenda, a non-partisan 501(c)(3) organization to lift up the voices of Black women on policy issues.",1404
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,1397
113693226143185,Jerome Moon for State Representative,Jerome Moon for State House,1380
894096170667732,Ashley Hinson,Ashley Hinson For Congress,1379
1059320777468378,David Kustoff,Kustoff for Congress,1378
406456986070332,Matt Gaetz,Friends of Matt Gaetz,1373
76625396025,CDC,U.S. Centers for Disease Control and Prevention with Facebook Ad Credits,1371
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",1337
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,1335
816731148427869,Ballad Health,Ballad Health,1335
195530355493,Chicks On The Right,Chicks on the Right,1325
74100576336,Facebook for Business,"Facebook, Inc.",1323
100233228182981,Madison Cawthorn for Congress,CAWTHORN FOR NC,1318
1600352356914768,PushBlack,PushBlack,1316
872842866161157,One Nation Design,One Nation Design,1303
217976018236954,OutKick,Outkick Media LLC,1298
106667854471975,Outspoken,Log Cabin Republicans,1275
1107973016071967,Wesley Hunt,Hunt for Congress,1275
118502801658228,Young Kim,Young Kim for Congress,1269
8492293163,Environmental Defense Fund,Environmental Defense Fund,1265
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,1258
1765033567057615,Full Frontal with Samantha Bee,WarnerMedia LLC,1255
103232231535182,Truly Loyal Patriots,Truly Loyal Patriots,1255
57259033959,AARP,AARP,1255
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,1255
7976226799,The Daily Show,Comedy Central,1249
537797163255381,Page Walley for State Senate,Page Walley for State Senate,1245
101165966152,AFL-CIO,AFL-CIO,1230
586751814690068,Joni Ernst,Joni for Iowa,1203
376776419037747,Turning Point USA,Turning Point USA,1194
143089732792,Marsha Blackburn,Blackburn Tennessee Victory Fund,1193
359392724077472,State Representative Mark White,Committee to Elect Mark White,1185
193618220508,LIFE Today,LIFE Outreach International,1177
114646533630729,Yes. Every Kid.,"yes. every kid, Inc.",1176
223055747744143,Beto O'Rourke,Powered By People,1175
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,1170
134728729902219,Voter Rights Action,Voter Rights Action,1166
2309566456030859,Human Coalition Action,Human Coalition Action,1149
309308412520731,Sandy Hook Promise,Sandy Hook Promise,1147
206743952696198,Lower My Bills,These ads ran without a disclaimer,1141
133556434326,Tennessee Senate Republican Caucus,TN Senate Republican Caucus,1135
49651563727,Live Action,Live Action,1114
112694470356789,Trumpcare For America,Stuart Joseph Millar,1110
206743952696198,Lower My Bills,"LMB OpCo, LLC",1102
1623638671194988,Senator Bill Powers,Bill Powers for TN,1100
702582586516561,CBN Israel,"The Christian Broadcasting Network, Inc.",1099
2037695643113766,Blexit,Blexit Foundation,1099
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),1098
352527958302,Israel on Campus Coalition,Israel on Campus Coalition,1096
104351147973521,BLM Store,www.BLM.store,1079
420785874975425,Conservative Institute,The Conservative Institute,1070
101894128312659,My President,wowengraving,1070
101127364972509,Dems For USA,Dems For USA,1061
17023576156,The Leadership Conference on Civil and Human Rights,Leadership Conference Education Fund,1053
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,1050
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",1038
1447994318779650,AirMedCare Network,AIrMedCare Network,1027
167606528159,Dockers,Levi Strauss & Co.,1017
121067011091,Arab American Institute,Arab American Institute with Facebook Ad Credits,1014
105410567897348,Adopt an Officer,These ads ran without a disclaimer,1013
1799282383731277,TwoSeventy,Alexander Jared Deutsch,1010
557051651115624,Stidham Financial Services,Stidham Financial Services,1009
656263988182462,Bill Hagerty,TEAM HAGERTY,1008
333710103706307,Giffords,GIFFORDS PAC,1006
49560242814,Consumer Energy Alliance,Consumer Energy Alliance,1002
6820348410,Kirsten Gillibrand,Off the Sidelines,989
2002661430023076,Civic-TN,Civic Tennessee,986
2081864865362439,Mike Espy,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,985
115947949854417,Pine Ridge Hope,Andrew Kenyon Davies,982
116238930177726,Artsiful,Brad Aaron Shaw,979
128191957875317,Cooking With Hope,Soyoung Cho,961
59386210330,American Lung Association,AMERICAN LUNG ASSOCIATION,939
110010433804232,Falkirk Center,Falkirk Center,927
186382001561785,Knox Dems,Democratic Party of Knox County,925
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,922
108118933908193,Next Level Goods,Next Level Goods LLC,915
6713653788,Gary Peters,PETERS FOR MICHIGAN,909
20876805343,March of Dimes,MARCH OF DIMES INC.,908
107315591003146,Healthier Lifestyle,Katie Yazhen Gao,906
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",904
105707511217866,Communities Joining Hands,Elena Zhan,902
101769576791,Health Action Network,Health Action Network,899
92111751018,"Paul Winkler, Inc.","PAUL WINKLER, INC",898
11653741889,Ad Council,Ad Council with Facebook Ad Credits,897
100119981671668,Blue Senate,BLUE SENATE PAC,887
111892670610842,Political AF,wowengraving,886
108176010748061,100 Insure,These ads ran without a disclaimer,885
1136781033034012,Brave New Look,Brave New Look,876
58736997707,Marco Rubio,Marco Rubio for Senate,870
439743359462418,RePublic Schools,Republic Schools Nashville,866
1338822066131069,Women's March,Women's March,864
926650430723985,Really American,REALLY AMERICAN PAC,861
350784278974539,Turning Point Action,Turning Point Action,860
2225580284361712,Tommy Tuberville,"TUBERVILLE FOR SENATE, INC.",858
102875587947942,Keep Trump In Office,Keep Trump In Office,858
105707511217866,Communities Joining Hands,Communities Joining Hands,851
102646051418950,Eddie Mannis For State Rep,Eddie Mannis for State Representative,850
433919203362871,Bird + Stone,BIRD & STONE INC,848
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,838
108557097612242,Vote By Mail PAC,Vote By Mail PAC,835
293225127381200,Patriot Depot,The Patriot Depot,833
277414242013,Joyce Elliott,JOYCE ELLIOTT FOR CONGRESS,826
147272056829,Tennessee Senate Democratic Caucus,Senate Democratic Caucus,815
159616034235,Walmart,WALMART INC.,810
5633824547,FreedomWorks,"FREEDOMWORKS, INC.",808
1530883997194411,United States Constitution,Flag and Cross,804
373814729643508,Let America Vote,LET AMERICA VOTE PAC,791
8550121410,Free Speech America Project,MEDIA RESEARCH CENTER,789
107109947803536,Analyzing America,Gregory Lawrence Burright,777
10423517786,Harvard Business Review,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,776
112116193746824,Kelly for Chattanooga,Tim Kelly for Mayor,775
169130470583214,Demand Justice,Demand Justice,772
104745474214057,HRA - OTC Birth Control,Corey Francis Mc Govern,766
11791104453,NRDC,Natural Resources Defense Council,763
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,761
182616238486183,Federal Student Aid,"Federal Student Aid, an office of the U.S. Department of Education",761
1435071773455316,Daily Wire,The Daily Wire,759
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,754
202286639832171,Dr. Robert Jeffress,FIRST BAPTIST CHURCH DALLAS,752
126474800729215,"Matt Stamper for Alderman - Hendersonville, TN",Cole Mason Bornefeld,750
123064705856,FRC Action,Family Research Council Action,748
257019421075897,Cory Gardner,Cory Gardner for Senate,746
216709768355686,Dinesh D'Souza,America2020 Film LLC,740
109984394118472,Mask Exemption Cards,Mask Exemption Cards,739
253791814655400,Doug Collins,"COLLINS FOR SENATE, INC.",737
1992665371010035,Senator Shane Reeves,Reeves for State Senate,736
20395377020,Old Navy,Old Navy LLC,725
210333902420876,Sean Parnell,AMERICANS FOR PARNELL COMMITTEE,724
1610834479233860,Fight For Reform,End Citizens United Non-federal,715
115024746010017,MediaWise,MediaWise,715
1013304945470529,My Pride Apparel,My Pride Apparel,706
237477017606,Club for Growth,Club for Growth,705
1088950287806118,Climate Hustle 2,CFACT,703
481559282597914,TrumpersUnite,Respect The Look,699
103644036958,United Association,United Association Political Education Committee,699
1836138529938551,Greater Half,Greater Half,698
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),692
839110726214614,Realtors,NATIONAL ASSOCIATION OF REALTORS,687
628891490457484,Nancy Mace,Nancy Mace for Congress,686
104555094702900,Tim Wirgau for Henry County Mayor,The Committee to Elect Tim Wirgau,685
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA-NAJJAR FOR CONGRESS,685
209516845093,NRDC Action Fund,NRDC Action Fund,681
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,678
169294473121454,Policetees.com,These ads ran without a disclaimer,678
104089378027523,The Water Guys,These ads ran without a disclaimer,674
107081137797631,The Second Essentials,Yoonjoo Park,671
1388990814610248,John Gentry Candidate for State Senate,Candidate for State Senate John Gentry,667
104099074492299,Derrick Van Orden,VAN ORDEN FOR CONGRESS,666
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,666
2085460778154235,WhiteHat Jr,These ads ran without a disclaimer,661
106064790999964,Blair for Congress - Tennessee 1st,BLAIR FOR CONGRESS 2020,658
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",654
1934191280189700,Health Care Voter,Health Care Voter,651
508221092890175,Rep. Bob Freeman,Friends of Bob Freeman,647
106381537769800,Health Quote Hero,"National Center for Medical Records, LLC",643
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",632
513695272011123,The Genesis Prize,GPF NA LLC,630
111247143710255,Black Beard Fire Starters,These ads ran without a disclaimer,626
116222966843926,US Concealed,US Concealed,620
15188122178,The Hamilton Collection,The Hamilton Collection,617
105269984593079,The Way I See It,Focus Features,616
10498053716,Media Research Center,MEDIA RESEARCH CENTER,616
493811210669780,Creative Action Network,Creative Action Network,607
1439829396312534,The Movement for Black Lives,Movement for Black Lives,606
107651337759797,Yomi Fapas,Fapas 4 Senate,598
1553558311617419,People United for Privacy,People United for Privacy,593
187329241434416,Glen Casada,Committee To Elect Glen Casada,591
342887442508723,Convention of States,Convention of States Action,589
120596093118510,Woke 2.0,Get Woke Press,588
109320440856128,Together Beat Hate,"Foundation to Combat Anti-Semitism, Inc.",586
103911824657671,Health Insurance,Michael Melen,586
629732217415068,Republican Party,Greater Half,586
456244124886097,FactSpread.org,factspread,585
134452023239984,Human Coalition,Human Coalition,585
107589664099282,Stand Up To China,"Stand Up To China, Inc.",584
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,583
103185334702225,Stop Trump PAC,STOP 45 PAC,582
64742342517,Hagee Ministries,"GLOBAL EVANGELISM, INC.",582
2255846891314996,Corn Refiners Association,"corn refiners association, inc",581
100517105076564,Shining Lifetime,Daniel Vasquez,579
586479438446633,Vote Diane Canada,Vote Diane Canada,576
114475890010131,Piggy Dollar Financial,Tyler Wayne Hedland,574
20531316728,Facebook App,These ads ran without a disclaimer,573
156268994819596,Marc J. Bern & Partners LLP,Marc J. Bern & Partners LLP,572
1005566252861190,VOTEPROCHOICE,DEMOCRATS.COM,570
911828698840246,ReLEntless Defender Apparel,ReLEntless Defender Apparel,567
971668776283950,PolicyEd,Hoover Institution,558
100801898452309,The Daily Patriot,lunchtime.uk.com,556
113553048669158,Rick Scott,TEAM RICK SCOTT,555
109698737529541,WomanKindness,WomanKindness,552
1912943255631432,Renee Hoyos for Congress,HOYOS FOR CONGRESS,551
115381416978578,House Flag Decor,These ads ran without a disclaimer,549
1084856268238034,Trump Talking,Roberto None Lugo,549
263210730984251,We Are Great Again Pac,WE ARE GREAT AGAIN PAC,549
166618413413767,Jay Sekulow,American Center for Law and Justice,546
128758577199209,Tennessee Senator Becky Massey,Massey For Senate,545
235701154010364,E Pluribus Unum,E Pluribus Unum Fund,545
103645227897737,Zesty Salsa,Gabriel F Serrano,541
419992651425033,Guardianes del Pueblo-Consumer Law Group,Consumer Law Group,540
5943727453,American Humane,American Humane,538
737686089933715,Conservative Collections,Mainline Media Group,534
105084617912738,PatriotQuizzes,patriotquizzes.com,532
354716314909000,Swing Left,Swing Left,532
27311599342,Preemptive Love,Preemptive Love Coalition,530
